Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              18.06.1974 125 5.65       34.868      5.65                 34.868        
Ingoy              06.07.1974 125 5.6        34.807      5.6                  34.807        
Ingoy              23.07.1974 125 6          34.718      6                    34.718        
Ingoy              05.08.1974 125 6.37       34.845      6.37                 34.845        
Ingoy              18.08.1974 125 6.4        34.676      6.4                  34.676        
Ingoy              03.09.1974 125 6.76       34.69       6.76                 34.69         
Ingoy              17.09.1974 125 6.89       34.811      6.89                 34.811        
Ingoy              01.10.1974 125 7.11       34.7        7.11                 34.7          
Ingoy              28.10.1974 125 7.88       34.499      7.88                 34.499        
Ingoy              10.11.1974 125 7.21       34.495      7.21                 34.495        
Ingoy              06.12.1974 125 6.12       34.255      6.12                 34.255        
Ingoy              24.03.1975 125 5.21       34.819      5.21                 34.819        
Ingoy              07.04.1975 125 5.1        34.8        5.1                  34.8          
Ingoy              21.04.1975 125 5.06       34.621      5.06                 34.621        
Ingoy              04.05.1975 125 5.25       34.654      5.25                 34.654        
Ingoy              16.05.1975 125 5.65       34.87       5.65                 34.87         
Ingoy              14.06.1975 125 5.59       34.725      5.59                 34.725        
Ingoy              01.07.1975 125 5.96                   5.96                               
Ingoy              15.07.1975 125 6.11       34.426      6.11                 34.426        
Ingoy              31.07.1975 125 6.36       34.416      6.36                 34.416        
Ingoy              14.08.1975 125 6.77       34.484      6.77                 34.484        
Ingoy              27.08.1975 125 6.81       34.703      6.81                 34.703        
Ingoy              09.09.1975 125 7.33       34.435      7.33                 34.435        
Ingoy              24.09.1975 125 7.46       34.345      7.46                 34.345        
Ingoy              08.10.1975 125 7.59       34.703      7.59                 34.703        
Ingoy              25.10.1975 125 7.7        34.345      7.7                  34.345        
Ingoy              12.11.1975 125 6.96       34.206      6.96                 34.206        
Ingoy              26.11.1975 125 6.73       34.433      6.73                 34.433        
Ingoy              14.01.1976 125 4.86       34.08       4.86                 34.08         
Ingoy              28.01.1976 125 5.44       34.541      5.44                 34.541        
Ingoy              09.02.1976 125 5.1        34.857      5.1                  34.857        
Ingoy              29.02.1976 125 4.98       34.632      4.98                 34.632        
Ingoy              12.03.1976 125 4.62       34.555      4.62                 34.555        
Ingoy              27.03.1976 125 4.68       34.595      4.68                 34.595        
Ingoy              12.04.1976 125 4.8        34.703      4.8                  34.703        
Ingoy              27.04.1976 125 4.52       34.529      4.52                 34.529        
Ingoy              11.05.1976 125 4.21       34.429      4.21                 34.429        
Ingoy              23.05.1976 125 5.04       34.6        5.04                 34.6          
Ingoy              07.06.1976 125 5.2        34.586      5.2                  34.586        
Ingoy              20.06.1976 125 5.44       34.713      5.44                 34.713        
Ingoy              06.07.1976 125 5.77       34.801      5.77                 34.801        
Ingoy              19.07.1976 125 5.95       34.559      5.95                 34.559        
Ingoy              04.08.1976 125 6.55       34.582      6.55                 34.582        
Ingoy              18.08.1976 125 7.09       34.438      7.09                 34.438        
Ingoy              06.09.1976 125 8.69       34.38       8.69                 34.38         
Ingoy              29.09.1976 125 7.67       34.74       7.67                 34.74         
Ingoy              14.10.1976 125 7.66       34.532      7.66                 34.532        
Ingoy              04.11.1976 125 6.78       34.604      6.78                 34.604        
Ingoy              27.04.1978 125 3.83       34.751      3.83                 34.751        
Ingoy              08.05.1978 125 3.66       34.652      3.66                 34.652        
Ingoy              21.05.1978 125 3.08       34.376      3.08                 34.376        
Ingoy              07.06.1978 125 4.58       34.52       4.58                 34.52         
Ingoy              21.06.1978 125 4.32       34.648      4.32                 34.648        
Ingoy              02.07.1978 125 5.41       34.661      5.41                 34.661        
Ingoy              17.07.1978 125 5.36       34.725      5.36                 34.725        
Ingoy              28.07.1978 125 5.37       34.794      5.37                 34.794        
Ingoy              09.08.1978 125 6.11       34.699      6.11                 34.699        
Ingoy              20.08.1978 125 5.81       34.629      5.81                 34.629        
Ingoy              31.08.1978 125 6.1        34.76       6.1                  34.76         
Ingoy              16.09.1978 125 6.08       34.764      6.08                 34.764        
Ingoy              19.10.1978 125 6.19       34.615      6.19                 34.615        
Ingoy              31.10.1978 125 5.98       34.633      5.98                 34.633        
Ingoy              13.11.1978 125 5.76       34.473      5.76                 34.473        
Ingoy              27.11.1978 125 5.02       34.521      5.02                 34.521        
Ingoy              11.12.1978 125 4.88       34.368      4.88                 34.368        
Ingoy              02.01.1979 125 4.86                   4.86                               
Ingoy              16.01.1979 125 4.05                   4.05                               
Ingoy              31.01.1979 125 4.12                   4.12                               
Ingoy              19.02.1979 125 3.67       34.537      3.67                 34.537        
Ingoy              01.03.1979 125 4.14       34.773      4.14                 34.773        
Ingoy              11.03.1979 125 3.3                    3.3                                
Ingoy              25.03.1979 125 3.54       34.44       3.54                 34.44         
Ingoy              07.04.1979 125 4.6        34.814      4.6                  34.814        
Ingoy              19.04.1979 125 3.9        34.687      3.9                  34.687        
Ingoy              05.05.1979 125 3.69       34.478      3.69                 34.478        
Ingoy              18.05.1979 125 4.85       34.884      4.85                 34.884        
Ingoy              30.05.1979 125 4.65       34.776      4.65                 34.776        
Ingoy              11.06.1979 125 4.25       34.352      4.25                 34.352        
Ingoy              23.06.1979 125 5.37       34.329      5.37                 34.329        
Ingoy              04.07.1979 125 5.49       34.778      5.49                 34.778        
Ingoy              18.07.1979 125 5.73       34.433      5.73                 34.433        
Ingoy              29.07.1979 125 5.29       34.336      5.29                 34.336        
Ingoy              08.08.1979 125 5.89       34.726      5.89                 34.726        
Ingoy              20.08.1979 125 5.89       34.778      5.89                 34.778        
Ingoy              04.09.1979 125 6.18       34.42       6.18                 34.42         
Ingoy              17.09.1979 125 6.59       34.278      6.59                 34.278        
Ingoy              27.09.1979 125 6.63       34.302      6.63                 34.302        
Ingoy              11.10.1979 125 6.77       34.152      6.77                 34.152        
Ingoy              22.10.1979 125 6.56       34.621      6.56                 34.621        
Ingoy              04.11.1979 125 6.31       34.427      6.31                 34.427        
Ingoy              22.11.1979 125 5.7                    5.7                                
